"variable","n_obs","date_from","date_to"
"cons_real",180,"1980-01-01","2024-10-01"
"cons_nom",180,"1980-01-01","2024-10-01"
"cons_deflator",180,"1980-01-01","2024-10-01"
"ydi_nom",180,"1980-01-01","2024-10-01"
"unemp_rate",180,"1980-01-01","2024-10-01"
"pop_millions",180,"1980-01-01","2024-10-01"
"fin_deposits",146,"1988-07-01","2024-10-01"
"fin_equities",146,"1988-07-01","2024-10-01"
"fin_super",146,"1988-07-01","2024-10-01"
"fin_loans",146,"1988-07-01","2024-10-01"
"housing_wealth",146,"1988-07-01","2024-10-01"
"closing_net_worth",146,"1988-07-01","2024-10-01"
"mortgage_rate",145,"1988-10-01","2024-10-01"
"hpi",155,"1986-04-01","2024-10-01"
"housing_loan_flow",90,"2002-07-01","2024-10-01"
"fhb_loans",90,"2002-07-01","2024-10-01"
"non_fhb_loans",90,"2002-07-01","2024-10-01"
"cons_deflator_norm",180,"1980-01-01","2024-10-01"
"cons_real_pc",180,"1980-01-01","2024-10-01"
"ydi_real_pc",180,"1980-01-01","2024-10-01"
"housing_wealth_r",146,"1988-07-01","2024-10-01"
"fin_deposits_r",146,"1988-07-01","2024-10-01"
"fin_equities_r",146,"1988-07-01","2024-10-01"
"fin_super_r",146,"1988-07-01","2024-10-01"
"fin_loans_r",146,"1988-07-01","2024-10-01"
"ydi_ann_nom",180,"1980-01-01","2024-10-01"
"ydi_ann_r",180,"1980-01-01","2024-10-01"
"eq_y",146,"1988-07-01","2024-10-01"
"super_y",146,"1988-07-01","2024-10-01"
"ilfa_y",146,"1988-07-01","2024-10-01"
"nla_y",146,"1988-07-01","2024-10-01"
"ha_y",146,"1988-07-01","2024-10-01"
"debt_y",146,"1988-07-01","2024-10-01"
"networth_y",146,"1988-07-01","2024-10-01"
"ln_cons_real_pc",180,"1980-01-01","2024-10-01"
"ln_ydi_real_pc",180,"1980-01-01","2024-10-01"
"ln_hpi",155,"1986-04-01","2024-10-01"
"ln_y_over_c",180,"1980-01-01","2024-10-01"
"ln_hp_over_y",155,"1986-04-01","2024-10-01"
"ln_networth_y",146,"1988-07-01","2024-10-01"
"d_ln_cons_pc",179,"1980-04-01","2024-10-01"
"d_ln_ydi_pc",179,"1980-04-01","2024-10-01"
"hicp_4q_ann",176,"1981-01-01","2024-10-01"
"real_rate",145,"1988-10-01","2024-10-01"
"ydi_ann_8qma",173,"1981-10-01","2024-10-01"
"cci_ratio",90,"2002-07-01","2024-10-01"
"fhb_share",90,"2002-07-01","2024-10-01"
"d2000_gst",180,"1980-01-01","2024-10-01"
"d2008_gfc",180,"1980-01-01","2024-10-01"
"d2020_covid",180,"1980-01-01","2024-10-01"
"d2020_rebound",180,"1980-01-01","2024-10-01"
