"variable","n_obs","pct_na","first_q","last_q"
"cons_real",0,100,"all NA","all NA"
"ydi_nom",0,100,"all NA","all NA"
"ydi_real",0,100,"all NA","all NA"
"gdp_nom",0,100,"all NA","all NA"
"gdp_real",0,100,"all NA","all NA"
"population",0,100,"all NA","all NA"
"unemp_rate",0,100,"all NA","all NA"
"hicp",0,100,"all NA","all NA"
"mort_rate",0,100,"all NA","all NA"
"hpi",0,100,"all NA","all NA"
"cci_bls",0,100,"all NA","all NA"
"fin_deposits",0,100,"all NA","all NA"
"fin_debt_sec",0,100,"all NA","all NA"
"fin_equity",0,100,"all NA","all NA"
"fin_mf_shares",0,100,"all NA","all NA"
"fin_insurance",0,100,"all NA","all NA"
"fin_tot_assets",0,100,"all NA","all NA"
"fin_loans",0,100,"all NA","all NA"
"fin_tot_liab",0,100,"all NA","all NA"
"cons_deflator",0,100,"all NA","all NA"
"gdp_deflator",0,100,"all NA","all NA"
"pop_millions",0,100,"all NA","all NA"
"cons_real_pc",0,100,"all NA","all NA"
"ydi_real_pc",0,100,"all NA","all NA"
"ydi_nom_pc",0,100,"all NA","all NA"
"fin_deposits_real",0,100,"all NA","all NA"
"fin_debt_sec_real",0,100,"all NA","all NA"
"fin_equity_real",0,100,"all NA","all NA"
"fin_mf_shares_real",0,100,"all NA","all NA"
"fin_insurance_real",0,100,"all NA","all NA"
"fin_tot_assets_real",0,100,"all NA","all NA"
"fin_loans_real",0,100,"all NA","all NA"
"fin_tot_liab_real",0,100,"all NA","all NA"
"fin_net_wealth_real",0,100,"all NA","all NA"
"fin_tot_assets_real_pc",0,100,"all NA","all NA"
"fin_net_wealth_real_pc",0,100,"all NA","all NA"
"fin_loans_real_pc",0,100,"all NA","all NA"
"hpi_real",0,100,"all NA","all NA"
"fin_wealth_inc_ratio",0,100,"all NA","all NA"
"debt_inc_ratio",0,100,"all NA","all NA"
"gdp_nom_8qma",0,100,"all NA","all NA"
"credit_stock",0,100,"all NA","all NA"
"cci_ratio",0,100,"all NA","all NA"
"ln_cons_real_pc",0,100,"all NA","all NA"
"ln_ydi_real_pc",0,100,"all NA","all NA"
"ln_fin_tot_assets_pc",0,100,"all NA","all NA"
"ln_fin_net_wealth_pc",0,100,"all NA","all NA"
"ln_fin_loans_pc",0,100,"all NA","all NA"
"ln_hpi",0,100,"all NA","all NA"
"ln_hpi_real",0,100,"all NA","all NA"
"d_ln_cons_pc",0,100,"all NA","all NA"
"d_ln_ydi_pc",0,100,"all NA","all NA"
"d_unemp",0,100,"all NA","all NA"
"d_mort_rate",0,100,"all NA","all NA"
"d_ln_hpi",0,100,"all NA","all NA"
"saving_rate",0,100,"all NA","all NA"
"year",160,0,"1980-Qq","2019-Qq"
"quarter",160,0,"1980-Qq","2019-Qq"
