"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.00378144730290669,0.00262946201064037,1.43810683995612,0.152963985155065
"ecm_lag",-0.215759715330027,0.0665860818793434,-3.24031252838982,0.00153905740680784
"d_lgdi",-0.181998727257448,0.660499180944641,-0.275547241401806,0.783361997389339
"d_lgdi_lag",0.0486416445817976,0.0783706154768647,0.62066176571188,0.535979956578785
"d_lcons_lag",-0.173928818301807,0.0789018526243811,-2.20436925771324,0.0293742871967295
"d_log_y_yp",0.0346838889637171,0.682731852983634,0.0508016270401676,0.959566676242439
"d_liquid_assets_ratio",-0.0903945511793578,0.114712756336571,-0.788007838588914,0.432220532227588
"d_debt_ratio",0.141197744793615,0.0826063337068936,1.70928472984429,0.0899407290073774
"d_u",-0.028124391941668,0.0032493545053968,-8.6553781358595,0.0000000000000239364540253287
"d_house_prices",-0.0218896118023538,0.0610042968212055,-0.358820819892556,0.720349349251222
